SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-10行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-11行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-14行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-15行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-16行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-17行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-18行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-21行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-22行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-06-21行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-06-22行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-06-23行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-06-24行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-06-25行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-06-28行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-06-29行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-06-30行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-07-01行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688368, 晶丰明源: 在['open', 'high', 'low', 'close', 'volume']列 2021-07-02行 填充了 [   334.81    341.49    329.5     336.76 312099.  ]
SH#688189, 南新制药: 在['open', 'high', 'low', 'close', 'volume']列 2020-10-26行 填充了 [5.20400e+01 5.26200e+01 5.03000e+01 5.04000e+01 6.92014e+05]
SH#688189, 南新制药: 在['open', 'high', 'low', 'close', 'volume']列 2020-10-27行 填充了 [5.20400e+01 5.26200e+01 5.03000e+01 5.04000e+01 6.92014e+05]
SH#688189, 南新制药: 在['open', 'high', 'low', 'close', 'volume']列 2020-10-28行 填充了 [5.20400e+01 5.26200e+01 5.03000e+01 5.04000e+01 6.92014e+05]
